subject_id,TrueSpecies,DateTimeLub,File,season,Classifications,n_different_classifications,n_wrong_classifications
77755264,['baboon'],2021-04-06 16:34:33,Site_100_part2_IMG_5112,1,"[['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon']]",1,0
84359420,['baboon'],2021-11-01 09:28:29,Site_74_part3_IMG_0793,2,"[['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['vervetmonkey']]",2,1
84359554,['baboon'],2021-11-04 14:30:36,Site_74_part3_IMG_0978,2,"[['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['noanimalspresent', 'vervetmonkey'], ['baboon'], ['baboon'], ['baboon']]",3,2
84358811,['baboon'],2021-11-18 08:57:11,Site_44_part8_IMG_0244,2,"[['vervetmonkey'], ['baboon'], ['vervetmonkey'], ['vervetmonkey'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['vervetmonkey'], ['baboon']]",2,4
77720378,['baboon'],2021-04-26 10:43:09,Site_96_part1_IMG_5627,1,"[['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon']]",1,0
70479069,['baboon'],2021-03-03 11:54:18,Site_69_part2_IMG_1527,1,"[['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon']]",1,0
77669493,['baboon'],2021-04-21 12:25:10,Site_76_part5_IMG_5053,1,"[['baboon'], ['baboon'], ['vervetmonkey'], ['vervetmonkey'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['vervetmonkey'], ['baboon'], ['baboon']]",2,3
84359035,['baboon'],2021-10-21 15:14:53,Site_74_part3_IMG_0318,2,"[['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon']]",1,0
77676154,['baboon'],2021-10-24 12:18:14,Site_77_part7_IMG_9915,2,"[['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon']]",1,0
77701251,['baboon'],2021-04-02 17:20:36,Site_88_part3_IMG_9715,1,"[['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon'], ['baboon']]",1,0
