,subject_id,metadata,DateTimeLub,File,season,TrueSpecies,Classifications
0,70469213,"{""Date"":""02-Mar-21"",""File"":""Site_63_part4_RCNX0015.JPG"",""Time"":""10:53:51"",""#Empty"":""FALSE"",""Folder"":""Site_63_part4"",""#Animal"":""TRUE"",""#Person"":""FALSE"",""#DeleteFlag"":""FALSE"",""#ImageQuality"":""Ok"",""#RelativePath"":""""}",2021-03-02 10:53:51,Site_63_part4_RCNX0015.JPG,1,['zebragrevys'],"['zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebraplains', 'zebragrevys', 'zebragrevys', 'zebraplains', 'zebragrevys', 'zebragrevys']"
1,84385210,"{""Date"":""24-Jan-16"",""File"":""Site_87_part5_IMG_0025.jpg"",""Time"":""00:29:09"",""#Empty"":""FALSE"",""Folder"":""Site_87_part5"",""#Animal"":""TRUE"",""#Person"":""FALSE"",""#DeleteFlag"":""FALSE"",""#ImageQuality"":""Ok"",""#RelativePath"":""""}",2021-11-05 13:21:09,Site_87_part5_IMG_0025,2,['zebraplains'],"['zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains']"
2,77684977,"{""Date"":""18-Mar-21"",""File"":""Site_83_part1_IMG_4131.jpg"",""Time"":""10:03:21"",""#Empty"":""FALSE"",""Folder"":""Site_83_part1"",""#Animal"":""TRUE"",""#Person"":""FALSE"",""#DeleteFlag"":""FALSE"",""#ImageQuality"":""Ok"",""#RelativePath"":""""}",2021-03-18 10:03:21,Site_83_part1_IMG_4131,1,['zebraplains'],"['zebraplains', 'zebragrevys', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebragrevys', 'zebraplains', 'zebraplains', 'zebraplains', 'zebragrevys']"
3,70522449,"{""Date"":""02-Feb-21"",""File"":""Site_26_part2_RCNX5071.JPG"",""Time"":""14:19:16"",""#Empty"":""FALSE"",""Folder"":""Site_26_part2"",""#Animal"":""TRUE"",""#Person"":""FALSE"",""#DeleteFlag"":""FALSE"",""#ImageQuality"":""Ok"",""#RelativePath"":""""}",2021-02-02 14:19:16,Site_26_part2_RCNX5071.JPG,1,['zebraplains'],"['zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains']"
4,70539207,"{""Date"":""01-Feb-21"",""File"":""Site_30_part1_RCNX1687.JPG"",""Time"":""01:44:00"",""#Empty"":""FALSE"",""Folder"":""Site_30_part1"",""#Animal"":""TRUE"",""#Person"":""FALSE"",""#DeleteFlag"":""FALSE"",""#ImageQuality"":""Ok"",""#RelativePath"":""""}",2021-02-01 01:44:00,Site_30_part1_RCNX1687.JPG,1,['zebragrevys'],"['zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys']"
5,70372514,"{""Date"":""17-Feb-21"",""File"":""Site_41_part2_IMG_3266.jpg"",""Time"":""15:12:04"",""#Empty"":""FALSE"",""Folder"":""Site_41_part2"",""#Animal"":""TRUE"",""#Person"":""FALSE"",""#DeleteFlag"":""FALSE"",""#ImageQuality"":""Ok"",""#RelativePath"":""""}",2021-02-17 15:12:04,Site_41_part2_IMG_3266,1,['zebragrevys'],"['zebragrevys', 'zebragrevys', 'zebraplains', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys']"
6,70485865,"{""Date"":""10-Mar-21"",""File"":""Site_71_part2_IMG_0333.jpg"",""Time"":""10:45:24"",""#Empty"":""FALSE"",""Folder"":""Site_71_part2"",""#Animal"":""TRUE"",""#Person"":""FALSE"",""#DeleteFlag"":""FALSE"",""#ImageQuality"":""Ok"",""#RelativePath"":""""}",2021-03-10 10:45:24,Site_71_part2_IMG_0333,1,['dikdik'],"['dikdik', 'dikdik', 'dikdik', 'dikdik', 'dikdik', 'dikdik', 'dikdik', 'dikdik', 'dikdik', 'dikdik', 'dikdik']"
7,70475416,"{""Date"":""28-Feb-21"",""File"":""Site_68_part1_IMG_0534.jpg"",""Time"":""10:22:33"",""#Empty"":""FALSE"",""Folder"":""Site_68_part1"",""#Animal"":""TRUE"",""#Person"":""FALSE"",""#DeleteFlag"":""FALSE"",""#ImageQuality"":""Ok"",""#RelativePath"":""""}",2021-02-28 10:22:33,Site_68_part1_IMG_0534,1,['zebragrevys'],"['zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebraplains', 'zebragrevys']"
8,70479330,"{""Date"":""29-Jan-20"",""File"":""Site_69_part2_IMG_1977.jpg"",""Time"":""13:07:05"",""#Empty"":""FALSE"",""Folder"":""Site_69_part2"",""#Animal"":""TRUE"",""#Person"":""FALSE"",""#DeleteFlag"":""FALSE"",""#ImageQuality"":""Ok"",""#RelativePath"":""""}",2021-03-03 13:08:28,Site_69_part2_IMG_1977,1,['zebragrevys'],"['zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys']"
9,70532243,"{""Date"":""01-Feb-21"",""File"":""Site_28_part1_RCNX5495.JPG"",""Time"":""11:38:22"",""#Empty"":""FALSE"",""Folder"":""Site_28_part1"",""#Animal"":""TRUE"",""#Person"":""FALSE"",""#DeleteFlag"":""FALSE"",""#ImageQuality"":""Ok"",""#RelativePath"":""""}",2021-02-01 11:38:22,Site_28_part1_RCNX5495.JPG,1,['zebraplains'],"['zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains']"
10,77683506,"{""Date"":""19-Mar-21"",""File"":""Site_82_part1_IMG_0201.jpg"",""Time"":""17:57:38"",""#Empty"":""FALSE"",""Folder"":""Site_82_part1"",""#Animal"":""TRUE"",""#Person"":""FALSE"",""#DeleteFlag"":""FALSE"",""#ImageQuality"":""Ok"",""#RelativePath"":""""}",2021-03-19 17:57:38,Site_82_part1_IMG_0201,1,['impala'],"['impala', 'impala', 'impala', 'impala', 'impala', 'impala', 'impala', 'impala', 'impala', 'impala', 'impala']"
11,70475429,"{""Date"":""28-Feb-21"",""File"":""Site_68_part1_IMG_0547.jpg"",""Time"":""10:23:12"",""#Empty"":""FALSE"",""Folder"":""Site_68_part1"",""#Animal"":""TRUE"",""#Person"":""FALSE"",""#DeleteFlag"":""FALSE"",""#ImageQuality"":""Ok"",""#RelativePath"":""""}",2021-02-28 10:23:12,Site_68_part1_IMG_0547,1,['zebragrevys'],"['zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys']"
12,77686762,"{""Date"":""05-Apr-21"",""File"":""Site_84_part2_RCNX0788.JPG"",""Time"":""16:15:28"",""#Empty"":""FALSE"",""Folder"":""Site_84_part2"",""#Animal"":""TRUE"",""#Person"":""FALSE"",""#DeleteFlag"":""FALSE"",""#ImageQuality"":""Ok"",""#RelativePath"":""""}",2021-04-05 16:15:28,Site_84_part2_RCNX0788.JPG,1,['zebraplains'],"['zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains']"
13,70517168,"{""Date"":""02-Feb-21"",""File"":""Site_25_part1_IMG_3203.jpg"",""Time"":""13:01:54"",""#Empty"":""FALSE"",""Folder"":""Site_25_part1"",""#Animal"":""TRUE"",""#Person"":""FALSE"",""#DeleteFlag"":""FALSE"",""#ImageQuality"":""Ok"",""#RelativePath"":""""}",2021-02-02 13:01:54,Site_25_part1_IMG_3203,1,['zebraplains'],"['zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains', 'zebraplains']"
14,70382475,"{""Date"":""19-Feb-21"",""File"":""Site_44_part1_IMG_4504.jpg"",""Time"":""09:25:41"",""#Empty"":""FALSE"",""Folder"":""Site_44_part1"",""#Animal"":""TRUE"",""#Person"":""FALSE"",""#DeleteFlag"":""FALSE"",""#ImageQuality"":""Ok"",""#RelativePath"":""""}",2021-02-19 09:25:41,Site_44_part1_IMG_4504,1,['dikdik'],"['impala', 'dikdik', 'dikdik', 'dikdik', 'dikdik', 'dikdik', 'dikdik', 'dikdik', 'dikdik', 'dikdik', 'dikdik']"
15,70529846,"{""Date"":""30-Jan-21"",""File"":""Site_28_part1_RCNX0763.JPG"",""Time"":""09:46:36"",""#Empty"":""FALSE"",""Folder"":""Site_28_part1"",""#Animal"":""TRUE"",""#Person"":""FALSE"",""#DeleteFlag"":""FALSE"",""#ImageQuality"":""Ok"",""#RelativePath"":""""}",2021-01-30 09:46:36,Site_28_part1_RCNX0763.JPG,1,['zebragrevys'],"['zebraplains', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebragrevys', 'zebraplains', 'zebragrevys', 'zebragrevys']"
